Time_hr,Concentration_mg_per_L
0.0,10.0
0.24242424242424243,9.526717862486768
0.48484848484848486,9.075835210640669
0.7272727272727273,8.64629201163546
0.9696969696969697,8.237078335087615
1.2121212121212122,7.8472319189301425
1.4545454545454546,7.475836394846395
1.696969696969697,7.122018409293499
1.9393939393939394,6.784945883997539
2.1818181818181817,6.463826442206357
2.4242424242424243,6.157905008543355
2.666666666666667,5.8664622904277275
2.909090909090909,5.588813040650111
3.1515151515151514,5.324304437370916
3.393939393939394,5.072314555477973
3.6363636363636367,4.832250914824189
3.878787878787879,4.603549122164875
4.121212121212121,4.3856713853145255
4.363636363636363,4.178105293656922
4.606060606060606,3.980362892479755
4.848484848484849,3.791979403102028
5.090909090909091,3.612511781167381
5.333333333333334,3.441537979881891
5.575757575757576,3.278656082312148
5.818181818181818,3.123483112074501
6.0606060606060606,2.975654196628541
6.303030303030303,2.834821760383057
6.545454545454546,2.7006546726300806
6.787878787878788,2.5728374763683157
7.03030303030303,2.451069641798169
7.272727272727273,2.3350648624652353
7.515151515151516,2.2245503831800195
7.757575757575758,2.119266352417913
8.0,2.0189652209162996
8.242424242424242,1.923411173193391
8.484848484848484,1.832379525694892
8.727272727272727,1.7456562403005582
8.96969696969697,1.663037424551536
9.212121212121213,1.584328804612831
9.454545454545455,1.5093453232235647
9.696969696969697,1.4379106842565716
9.93939393939394,1.3698569130723584
10.181818181818182,1.3050240093631162
10.424242424242424,1.243259534812874
10.666666666666668,1.184418258027485
10.90909090909091,1.1283618397849182
11.151515151515152,1.074958471333748
11.393939393939394,1.0240825861635452
11.636363636363637,0.9756145723320734
11.878787878787879,0.9294404604911957
12.121212121212121,0.8854516862353644
12.363636363636363,0.8435448274922077
12.606060606060606,0.8036213421770798
12.84848484848485,0.7655873656792375
13.090909090909092,0.7293534721370101
13.333333333333334,0.6948344611907886
13.575757575757576,0.6619491764906098
13.818181818181818,0.6306202940269666
14.06060606060606,0.6007741497191891
14.303030303030303,0.5723405737893962
14.545454545454547,0.5452527071379623
14.787878787878789,0.5194468600572894
15.030303030303031,0.4948623609507948
15.272727272727273,0.4714414004701952
15.515151515151516,0.4491289126804885
15.757575757575758,0.42787243719043977
16.0,0.40762199096229984
16.242424242424242,0.3883299636919867
16.484848484848484,0.36995099425255096
16.727272727272727,0.3524418673579962
16.96969696969697,0.33576141817272764
17.21212121212121,0.3198704244854567
17.454545454545453,0.30473152249381896
17.6969696969697,0.2903091196816063
17.93939393939394,0.2765693024958041
18.181818181818183,0.2634797663439792
18.424242424242426,0.2510097360826045
18.666666666666668,0.23912988926447287
18.90909090909091,0.2278122945557862
19.151515151515152,0.21703034339111993
19.393939393939394,0.20675868452351678
19.636363636363637,0.19697316561529415
19.87878787878788,0.18765077565684565
20.12121212121212,0.178769598455354
20.363636363636363,0.1703087520888801
20.606060606060606,0.16224834099759955
20.848484848484848,0.1545694148833114
21.09090909090909,0.14725391910114932
21.333333333333336,0.14028465229917034
21.575757575757578,0.13364522857313785
21.81818181818182,0.12732003723708663
22.060606060606062,0.12129420576160785
22.303030303030305,0.11555356607554099
22.545454545454547,0.11008462074584044
22.78787878787879,0.10487451088937458
23.03030303030303,0.09991098636419683
23.272727272727273,0.09518237681893367
23.515151515151516,0.09067756390641638
23.757575757575758,0.08638595566990584
24.0,0.08229746173616705
